TYPE,SET,EIO,i7,oligo_reads,total_oligo_reads,perc_reads,predicted_perc_contam
T,Set1,01,02,1,681223,0.0,0.0
T,Set1,03,02,0,694455,0.0,0.0
T,Set1,04,02,0,584755,0.0,0.0
T,Set1,05,02,0,693708,0.0,0.0
T,Set1,06,02,0,652522,0.0,0.0
T,Set1,07,02,1,661860,0.0,0.0
T,Set1,08,02,1,697079,0.0,0.0
T,Set1,09,02,0,722325,0.0,0.0
T,Set1,10,02,0,819362,0.0,0.0
T,Set1,11,02,0,666345,0.0,0.0
T,Set1,12,02,0,508394,0.0,0.0
T,Set1,13,02,0,622116,0.0,0.0
T,Set1,14,02,1,666038,0.0,0.0
T,Set1,15,02,1,700503,0.0,0.0
T,Set1,16,02,0,659421,0.0,0.0
T,Set1,17,02,667,649326,0.1,0.1
T,Set1,18,02,0,419022,0.0,0.0
T,Set1,19,02,0,632509,0.0,0.0
T,Set1,20,02,4,1069884,0.0,0.0
T,Set1,21,02,0,601771,0.0,0.0
T,Set1,22,02,0,557655,0.0,0.0
T,Set1,23,02,1,667898,0.0,0.0
T,Set1,24,02,0,575151,0.0,0.0
T,Set1,25,02,0,469824,0.0,0.0
T,Set1,26,02,1,680819,0.0,0.0
T,Set1,27,02,141,497186,0.03,0.03
T,Set1,28,02,1,724335,0.0,0.0
T,Set1,29,02,0,618673,0.0,0.0
T,Set1,30,02,1,586235,0.0,0.0
T,Set1,31,02,0,636966,0.0,0.0
T,Set1,32,02,0,823799,0.0,0.0
T,Set1,33,02,0,430433,0.0,0.0
T,Set1,34,02,0,485391,0.0,0.0
T,Set1,35,02,1,675415,0.0,0.0
T,Set1,36,02,0,388948,0.0,0.0
T,Set1,37,02,0,714834,0.0,0.0
T,Set1,38,02,0,502888,0.0,0.0
T,Set1,39,02,0,746041,0.0,0.0
T,Set1,40,02,39,844512,0.0,0.0
T,Set1,41,02,0,701472,0.0,0.0
T,Set1,42,02,3,647029,0.0,0.0
T,Set1,43,02,0,764250,0.0,0.0
T,Set1,44,02,1,877203,0.0,0.0
T,Set1,45,02,1,657348,0.0,0.0
T,Set1,46,02,0,595681,0.0,0.0
T,Set1,47,02,0,698829,0.0,0.0
T,Set1,48,02,0,621626,0.0,0.0
T,Set2,01,02,0,740984,0.0,0.0
T,Set2,03,02,0,822180,0.0,0.0
T,Set2,04,02,0,726253,0.0,0.0
T,Set2,05,02,0,635437,0.0,0.0
T,Set2,06,02,1,702965,0.0,0.0
T,Set2,07,02,1,675264,0.0,0.0
T,Set2,08,02,0,681144,0.0,0.0
T,Set2,09,02,0,436090,0.0,0.0
T,Set2,10,02,1,608769,0.0,0.0
T,Set2,11,02,0,604342,0.0,0.0
T,Set2,12,02,0,509207,0.0,0.0
T,Set2,13,02,1,684694,0.0,0.0
T,Set2,14,02,0,630317,0.0,0.0
T,Set2,15,02,0,713571,0.0,0.0
T,Set2,16,02,1,832532,0.0,0.0
T,Set2,17,02,648,723550,0.09,0.09
T,Set2,18,02,0,607535,0.0,0.0
T,Set2,19,02,0,698680,0.0,0.0
T,Set2,20,02,5,746124,0.0,0.0
T,Set2,21,02,0,662683,0.0,0.0
T,Set2,22,02,1,650959,0.0,0.0
T,Set2,23,02,1,533017,0.0,0.0
T,Set2,24,02,0,1028315,0.0,0.0
T,Set2,25,02,1,435456,0.0,0.0
T,Set2,26,02,0,583985,0.0,0.0
T,Set2,27,02,207,686104,0.03,0.03
T,Set2,28,02,1,636763,0.0,0.0
T,Set2,29,02,1,675368,0.0,0.0
T,Set2,30,02,1,614920,0.0,0.0
T,Set2,31,02,1,508552,0.0,0.0
T,Set2,32,02,0,624430,0.0,0.0
T,Set2,33,02,0,731377,0.0,0.0
T,Set2,34,02,0,666456,0.0,0.0
T,Set2,35,02,0,695550,0.0,0.0
T,Set2,36,02,0,533522,0.0,0.0
T,Set2,37,02,0,607904,0.0,0.0
T,Set2,38,02,1,590492,0.0,0.0
T,Set2,39,02,0,693329,0.0,0.0
T,Set2,40,02,47,981346,0.0,0.0
T,Set2,41,02,0,682417,0.0,0.0
T,Set2,42,02,1,765278,0.0,0.0
T,Set2,43,02,0,880597,0.0,0.0
T,Set2,44,02,0,588955,0.0,0.0
T,Set2,45,02,0,504454,0.0,0.0
T,Set2,46,02,0,810745,0.0,0.0
T,Set2,47,02,0,729430,0.0,0.0
T,Set2,48,02,0,626537,0.0,0.0
T,Set3,01,02,0,522736,0.0,0.0
T,Set3,03,02,0,471901,0.0,0.0
T,Set3,04,02,0,613745,0.0,0.0
T,Set3,05,02,0,471595,0.0,0.0
T,Set3,06,02,0,510063,0.0,0.0
T,Set3,07,02,1,322190,0.0,0.0
T,Set3,08,02,0,565743,0.0,0.0
T,Set3,09,02,1,535432,0.0,0.0
T,Set3,10,02,1,482710,0.0,0.0
T,Set3,11,02,0,402646,0.0,0.0
T,Set3,12,02,0,774122,0.0,0.0
T,Set3,13,02,1,356470,0.0,0.0
T,Set3,14,02,0,689051,0.0,0.0
T,Set3,15,02,0,755904,0.0,0.0
T,Set3,16,02,0,589942,0.0,0.0
T,Set3,17,02,431,481073,0.09,0.09
T,Set3,18,02,0,604560,0.0,0.0
T,Set3,19,02,0,709057,0.0,0.0
T,Set3,20,02,2,628477,0.0,0.0
T,Set3,21,02,0,480165,0.0,0.0
T,Set3,22,02,0,455809,0.0,0.0
T,Set3,23,02,1,600018,0.0,0.0
T,Set3,24,02,0,635161,0.0,0.0
T,Set3,25,02,0,284795,0.0,0.0
T,Set3,26,02,0,575463,0.0,0.0
T,Set3,27,02,133,450234,0.03,0.03
T,Set3,28,02,0,284717,0.0,0.0
T,Set3,29,02,0,407463,0.0,0.0
T,Set3,30,02,0,333803,0.0,0.0
T,Set3,31,02,0,626498,0.0,0.0
T,Set3,32,02,0,680767,0.0,0.0
T,Set3,33,02,0,461972,0.0,0.0
T,Set3,34,02,0,572614,0.0,0.0
T,Set3,35,02,0,307460,0.0,0.0
