FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,300,2.55,,13.1,12.56,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,1000,2.89,,4.44,14.25,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL1,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A1,,25,7.88,,485,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A1,,77,2.99,,60.0,19.43,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A1,,145,12.4,,131,80.57,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A1,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B1,,25,8.20,,505,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B1,,79,4.80,,93.4,28.31,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B1,,98,1.27,,19.9,7.47,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B1,,146,10.9,,115,64.22,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B1,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C1,,25,7.71,,475,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C1,,75,3.32,,67.6,19.29,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C1,,99,0.985,,15.3,5.73,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C1,,145,12.9,,137,74.99,,
