FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,300,2.55,,13.1,12.56,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,1000,2.89,,4.44,14.25,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL1,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A1,,25,6.97,,429,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A1,,76,3.87,,77.8,22.70,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A1,,98,1.15,,18.0,6.76,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A1,,144,12.0,,128,70.54,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A1,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B1,,25,6.86,,422,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B1,,78,4.53,,89.3,27.34,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B1,,99,1.42,,22.1,8.57,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B1,,144,10.6,,113,64.09,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B1,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C1,,25,7.26,,447,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C1,,78,5.28,,105,32.62,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C1,,98,1.81,,28.6,11.22,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C1,,142,8.96,,96.8,55.41,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C1,,645,0.122,,0.290,0.75,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C1,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D1,,25,7.52,,463,,,Lower Marker
