Sample_ID,EIO_02,EIO_25,EIO_08,EIO_23,EIO_17,EIO_12,EIO_15,EIO_21,EIO_03,EIO_26,EIO_29,EIO_31,EIO_18,EIO_09,EIO_47,EIO_46,EIO_13,EIO_38,EIO_43,EIO_44,EIO_06,EIO_33,EIO_40,EIO_35,EIO_28,EIO_41,EIO_39,EIO_11,EIO_48,EIO_22,EIO_37,EIO_32,EIO_24,EIO_20,EIO_45,EIO_14,EIO_42,EIO_19,EIO_10,EIO_01,EIO_16,EIO_27,EIO_04,EIO_05,EIO_34,EIO_36,EIO_07,EIO_30
R_G_Set4_01,1,3,0,0,0,33,0,0,4,0,5,6,0,0,0,0,0,2,15,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,477167,0,0,0,0,0,0,1,0
R_G_Set4_02,324039,1,0,0,0,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
R_G_Set4_03,3,0,0,0,0,0,0,0,621134,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,2,10,1,0,0,1,0,0,1,0
R_G_Set4_04,0,0,0,3,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,465541,1,0,1,0,0
R_G_Set4_05,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,2,0,0,0,1,413333,1,0,1,0
R_G_Set4_06,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,542137,1,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
R_G_Set4_07,0,0,18,3,0,0,15,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,1,58,0,9,0,0,1,0,1,1,0,1,19,0,0,2,0,504612,1
R_G_Set4_08,0,0,714519,2,0,1,0,1,0,0,1,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,2,0,0,1,0,1,3,0
R_G_Set4_09,0,0,0,0,1,0,0,1,0,0,0,1,0,403157,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_G_Set4_10,2,0,0,0,0,0,0,1,0,0,1,28,1,2,0,2,0,1,0,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,579791,0,1,2,0,1,0,2,0,0
