FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,25,5.22,,321,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,50,2.25,,69.3,11.11,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,100,2.37,,36.5,11.71,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,200,2.47,,19.0,12.20,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,300,2.55,,13.1,12.56,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,400,2.57,,9.87,12.66,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,500,2.71,,8.33,13.36,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,700,2.46,,5.41,12.15,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,1000,2.89,,4.44,14.25,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL1,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,25,6.60,,406,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,98,0.279,,4.39,59.28,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,224,0.0454,,0.312,9.66,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,335,0.0247,,0.113,5.26,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,471,0.121,,0.396,25.80,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,25,6.73,,414,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,98,0.309,,4.87,60.01,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,221,0.0471,,0.328,9.14,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,337,0.0315,,0.144,6.12,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,471,0.127,,0.416,24.72,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,25,6.68,,411,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,98,0.347,,5.48,60.93,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,219,0.0532,,0.373,9.33,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,333,0.0358,,0.165,6.27,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,471,0.134,,0.437,23.47,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,25,6.72,,413,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,97,0.356,,5.63,61.04,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,217,0.0478,,0.339,8.20,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,334,0.0379,,0.175,6.51,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,470,0.141,,0.462,24.24,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E1,LPAManualBuild1_Hypo,25,6.51,,401,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E1,LPAManualBuild1_Hypo,97,0.369,,5.86,57.60,,
