Well	lot	partition	dimer	double_ligated	total	lig_efficiency
A1	LPA111000015	Hypo	0.47	0.37200000000000005	1.15	54.70588235294119
A2	LPA111000015	Res	0.35600000000000004	0.648	1.37	63.90532544378698
A3	LPA111000015	Hyper	0.263	0.551	1.14	62.8278221208666
B1	LPA111000015	Hypo	0.586	0.515	1.53	54.555084745762706
B2	LPA111000015	Res	0.217	0.614	1.09	70.33218785796105
B3	LPA111000015	Hyper	0.268	0.579	1.26	58.36693548387097
C1	LPA111000015	Hypo	0.46799999999999997	0.45299999999999996	1.29	55.10948905109488
C2	LPA111000015	Res	0.261	0.701	1.27	69.47472745292369
C3	LPA111000015	Hyper	0.183	0.462	1.03	54.545454545454554
D1	LPA111000015	Hypo	0.501	0.461	1.38	52.445961319681466
D2	LPA111000015	Res	0.253	0.7140000000000001	1.31	67.5496688741722
D3	LPA111000015	Hyper	0.278	0.626	1.34	58.94538606403013
E1	LPA111000015	Hypo	0.51	0.441	1.37	51.279069767441854
E2	LPA111000015	Res	0.259	0.7120000000000001	1.3	68.39577329490875
E3	LPA111000015	Hyper	0.293	0.589	1.3	58.49056603773584
F1	LPA111000015	Hypo	0.5589999999999999	0.493	1.47	54.11635565312842
F2	LPA111000015	Res	0.28600000000000003	0.687	1.29	68.42629482071713
F3	LPA111000015	Hyper	0.39399999999999996	0.593	1.4	58.94632206759443
G1	LPA111000015	Hypo	0.491	0.47100000000000003	1.35	54.83119906868451
G2	LPA111000015	Res	0.209	0.623	1.3	57.103574702108155
G3	LPA111000015	Hyper	0.308	0.579	1.28	59.5679012345679
H1	LPA111000015	Hypo	0.58	0.475	1.48	52.77777777777778
H2	LPA111000015	Res	0.33799999999999997	0.657	1.38	63.05182341650673
H3	LPA111000015	Hyper	0.384	0.593	1.42	57.23938223938224
