Well	lot	partition	dimer	double_ligated	total	lig_efficiency
A1	LPAManualBuild1	Hypo	0.347	0.453	1.02	67.31054977711739
A2	LPAManualBuild1	Res	0.24	0.614	1.14	68.22222222222223
A3	LPAManualBuild1	Hyper	0.265	0.539	1.06	67.79874213836479
B1	LPAManualBuild1	Hypo	0.355	0.492	1.13	63.48387096774194
B2	LPAManualBuild1	Res	0.18	0.587	1.05	67.47126436781608
B3	LPAManualBuild1	Hyper	0.233	0.558	1.05	68.29865361077111
C1	LPAManualBuild1	Hypo	0.413	0.506	1.22	62.701363073110294
C2	LPAManualBuild1	Res	0.225	0.682	1.16	72.94117647058825
C3	LPAManualBuild1	Hyper	0.232	0.61	1.12	68.69369369369369
D1	LPAManualBuild1	Hypo	0.377	0.532	1.22	63.10794780545671
D2	LPAManualBuild1	Res	0.196	0.612	1.06	70.83333333333331
D3	LPAManualBuild1	Hyper	0.249	0.552	1.11	64.11149825783971
E1	LPAManualBuild1	Hypo	0.365	0.505	1.18	61.96319018404908
E2	LPAManualBuild1	Res	0.234	0.692	1.21	70.90163934426228
E3	LPAManualBuild1	Hyper	0.257	0.555	1.09	66.6266506602641
F1	LPAManualBuild1	Hypo	0.427	0.509	1.29	58.98030127462341
F2	LPAManualBuild1	Res	0.23	0.64	1.15	69.56521739130436
F3	LPAManualBuild1	Hyper	0.23	0.555	1.08	65.29411764705883
G1	LPAManualBuild1	Hypo	0.422	0.47	1.2	60.411311053984576
G2	LPAManualBuild1	Res	0.182	0.614	1.06	69.93166287015944
G3	LPAManualBuild1	Hyper	0.244	0.533	1.05	66.12903225806451
H1	LPAManualBuild1	Hypo	0.437	0.427	1.18	57.46971736204576
H2	LPAManualBuild1	Res	0.221	0.596	1.09	68.58457997698503
H3	LPAManualBuild1	Hyper	0.336	0.541	1.2	62.615740740740755
