ix,Sample_ID,Count,Total_Reads,Perc_Reads
0,EIO_01,1944586,86369242,2.25
1,EIO_02,0,86369242,0.0
2,EIO_03,1988451,86369242,2.3
3,EIO_04,1924595,86369242,2.23
4,EIO_05,1800681,86369242,2.08
5,EIO_06,1865300,86369242,2.16
6,EIO_07,1658650,86369242,1.92
7,EIO_08,1943921,86369242,2.25
8,EIO_09,1693799,86369242,1.96
9,EIO_10,1910086,86369242,2.21
10,EIO_11,1672564,86369242,1.94
11,EIO_12,1791188,86369242,2.07
12,EIO_13,1662255,86369242,1.92
13,EIO_14,1983423,86369242,2.3
14,EIO_15,2169707,86369242,2.51
15,EIO_16,2081362,86369242,2.41
16,EIO_17,1852163,86369242,2.14
17,EIO_18,1630459,86369242,1.89
18,EIO_19,2039998,86369242,2.36
19,EIO_20,2443974,86369242,2.83
20,EIO_21,1743122,86369242,2.02
21,EIO_22,1664379,86369242,1.93
22,EIO_23,1798467,86369242,2.08
23,EIO_24,2238103,86369242,2.59
24,EIO_25,1189816,86369242,1.38
25,EIO_26,1840150,86369242,2.13
26,EIO_27,1632883,86369242,1.89
27,EIO_28,1645673,86369242,1.91
28,EIO_29,1701254,86369242,1.97
29,EIO_30,1534737,86369242,1.78
30,EIO_31,1771127,86369242,2.05
31,EIO_32,2128645,86369242,2.46
32,EIO_33,1623740,86369242,1.88
33,EIO_34,1723504,86369242,2.0
34,EIO_35,1677873,86369242,1.94
35,EIO_36,1319203,86369242,1.53
36,EIO_37,1700653,86369242,1.97
37,EIO_38,1536412,86369242,1.78
38,EIO_39,1951024,86369242,2.26
39,EIO_40,2497819,86369242,2.89
40,EIO_41,2041775,86369242,2.36
41,EIO_42,1818108,86369242,2.11
42,EIO_43,2183400,86369242,2.53
43,EIO_44,1892886,86369242,2.19
44,EIO_45,1541471,86369242,1.78
45,EIO_46,1928201,86369242,2.23
46,EIO_47,2041993,86369242,2.36
47,EIO_48,1945662,86369242,2.25
